rating,review_title,review_content,company_name,published_date
5,Great service as always,Staff were incredibly helpful and delivery arrived on time. Very happy with my order.,Sainsbury's,2026-01-15
1,Terrible delivery experience,My order arrived two hours late and several items were missing. Customer service was unhelpful.,Tesco,2026-01-18
5,Love the Nectar scheme,The Nectar card savings are brilliant. Staff always friendly and helpful in store.,Sainsbury's,2026-01-20
2,Missing items again,Third time this month that items have been missing from my delivery. Very frustrating.,Tesco,2026-01-22
4,Good supermarket overall,Good range of products and reasonable prices. Store is always clean and well organised.,Sainsbury's,2026-01-25
1,Awful customer service,Waited 45 minutes on hold and the issue still was not resolved. Will not be shopping here again.,Tesco,2026-01-28
5,Excellent delivery driver,Driver was polite and helpful. Order was complete and arrived on time. Really pleased.,Sainsbury's,2026-02-01
3,Average experience,Nothing particularly good or bad. Prices are fair but the website could be easier to use.,Tesco,2026-02-03
5,Best supermarket in my area,Always well stocked and the staff go out of their way to help. Highly recommend.,Sainsbury's,2026-02-05
1,Order cancelled without notice,My weekly shop was cancelled an hour before delivery with no explanation or apology.,Tesco,2026-02-08
4,Generally good,Good quality products and the app works well. Delivery is usually on time.,Sainsbury's,2026-02-10
1,Shocking quality,Half the fresh produce in my order was already going off. Completely unacceptable.,Tesco,2026-02-12
5,Loyal customer for years,Been shopping here for over ten years and the quality never lets me down.,Sainsbury's,2026-02-14
2,Long wait times,Queued for 20 minutes at the customer service desk. Not enough staff on.,Tesco,2026-02-16
5,Fantastic fresh food,The fresh produce is always excellent quality and the variety is great.,Sainsbury's,2026-02-18
1,Wrong items delivered,Received someone else's order entirely. Had to wait three days for a replacement.,Tesco,2026-02-20
4,Happy with the service,Delivery was slightly late but driver called ahead to let me know. Good communication.,Sainsbury's,2026-02-22
1,Will not use again,Terrible experience from start to finish. Order wrong, delivery late, staff rude.,Tesco,2026-02-24
5,Great value and quality,The meal deals are fantastic value and the quality is consistently high.,Sainsbury's,2026-02-26
2,Disappointing delivery,Two substitutions and one missing item. Getting worse every week.,Tesco,2026-02-28
